Num,Prod,SubstationId,SubstationName,MetarName,MaxLoad
1,rik32119502,45321,E066,Grefsrud,200
1,rik32119502,45322,E069,Tyribo,500
1,rik32119502,45323,E070,Tyribo 1,200
1,rik32119502,45324,E071,Stigsrudh?gda,100
1,rik32119502,45325,E072,Engen,100
1,rik32119502,45326,E075,Vesetrud,100
1,rik32119502,45327,E078,Ellingsen sag,200
1,rik32119502,45328,E079,Bak?sveien,100
1,rik32119502,45329,E080,Kolkinn,50
1,rik32119502,45330,E081,?sterud,50
1,rik32119502,45331,E085,St?a 2,50
1,rik32119502,45332,E087,Tyristrand koblingsanlegg mastearr,0
1,rik32119502,45333,E088,Ringerike Kretsfengsel koblingsanlegg,0
1,rik32119502,45334,E089,Tyristrand koblingsanlegg kiosk,0
1,rik32119502,45335,E999P,Pjåkerud hyttefelt,0
1,rik32119502,45336,Elektrofyrhus,Elektrofyrhus 5kV,0
1,rik32119502,45337,F002,Sonerud,200
1,rik32119502,45338,F004,Bj?rke,100
1,rik32119502,45339,F005,Bj?rnstad,100
1,rik32119502,45340,F006,Moe,100
1,rik32119502,45341,F007,Skauveien,200
1,rik32119502,45342,F008,S?rum,500
1,rik32119502,45343,F009,Solheimtunet,500
1,rik32119502,45344,F010,Helgelandsmoen,0
1,rik32119502,45345,F011,Forsvaret 6 vestre leir,50
1,rik32119502,45346,F012,Forsvaret 1,800
1,rik32119502,45347,F014,Forsvaret 2,1250
1,rik32119502,45348,F015,Forsvaret 4,200
1,rik32119502,45349,F016,Forsvaret 3,500
1,rik32119502,45350,F017,Forsvaret 5,315
1,rik32119502,45351,F018,Br?ten,200
1,rik32119502,45352,F019,Hole renseanlegg,100
1,rik32119502,45353,F020,NATO,800
1,rik32119502,45354,F021,Hole Idrettsanlegg,200
1,rik32119502,45355,F022,Domholt,200
1,rik32119502,45356,F023,Aver?ya,200
1,rik32119502,45357,F024,Klokkerplassen,200
1,rik32119502,45358,F025,Svingerud,100
1,rik32119502,45359,F026,Hole kirke,200
1,rik32119502,45360,F027,Bredvold,100
1,rik32119502,45361,F028,Hafnor,100
1,rik32119502,45362,F029,Fr?yshov,200
1,rik32119502,45363,F031,R?yse Skole,500
1,rik32119502,45364,F032,Fr?shaug?sen 1,200
1,rik32119502,45365,F033,Fr?shaug?sen 2,100
1,rik32119502,45366,F034,D?hli,100
1,rik32119502,45367,F035,Stadum,50
1,rik32119502,45368,F036,Myhre,100
1,rik32119502,45369,F037,Onsakervika,200
1,rik32119502,45370,F038,Tyrifjordregn,500
1,rik32119502,45371,F039,D?hli g?rd,50
1,rik32119502,45372,F040,Bye,200
1,rik32119502,45373,F041,?vre fjeldstad,100
1,rik32119502,45374,F042,Svendsrud,300
1,rik32119502,45375,F043,Byhavna,50
1,rik32119502,45376,F044,Svendsrud brygge,315
1,rik32119502,45377,F045,Ullern,100
1,rik32119502,45378,F046,Fjeldstad,100
1,rik32119502,45379,F047,R?ysetoppen,800
1,rik32119502,45380,F048,S?hol,200
1,rik32119502,45381,F049,Evjual,300
